day,blocks_count,total_size_bytes,total_txs,avg_txs_per_block,avg_block_size
2020-01-01,174,111993256,251735,1446.7528735632177,643639.40229885024
2020-01-02,141,142743474,295567,2096.2198581560269,1012365.0638297871
2020-01-03,169,153896396,316517,1872.8816568047337,910629.56213017739
2020-01-04,168,133506838,287215,1709.6130952380963,794683.55952380958
2020-01-05,163,128906654,287779,1765.5153374233132,790838.36809815979
2020-01-06,135,152227435,299146,2215.8962962962974,1127610.62962963
2020-01-07,176,166919417,344079,1954.9943181818189,948405.778409091
2020-01-08,142,151015707,318019,2239.57042253521,1063490.8943661961
2020-01-09,157,164044571,322057,2051.3184713375804,1044869.8789808915
2020-01-10,149,166950916,330734,2219.6912751677846,1120475.9463087255
2020-01-11,163,137546038,309070,1896.1349693251543,843840.72392638028
2020-01-12,151,124578153,283136,1875.0728476821187,825020.88079470186
2020-01-13,143,140363485,291597,2039.1398601398596,981562.8321678323
2020-01-14,145,176851467,346953,2392.7793103448275,1219665.2896551723
2020-01-15,151,160840958,332658,2203.0331125827793,1065171.9072847681
2020-01-16,159,156376846,325947,2049.9811320754729,983502.17610062892
2020-01-17,159,154048353,323992,2037.6855345911949,968857.5660377359
2020-01-18,132,126067632,287237,2176.0378787878785,955057.81818181777
2020-01-19,150,131214029,283960,1893.0666666666673,874760.19333333347
2020-01-20,152,150720303,313661,2063.5592105263181,991580.94078947417
2020-01-21,153,152967295,315210,2060.1960784313728,999786.24183006538
2020-01-22,156,165168395,328586,2106.3205128205141,1058771.762820513
2020-01-23,159,165301912,329918,2074.955974842766,1039634.6666666667
2020-01-24,152,156996181,313887,2065.0460526315792,1032869.6118421055
2020-01-25,164,139943126,285584,1741.365853658536,853311.7439024389
2020-01-26,143,118054354,261247,1826.9020979020975,825554.92307692277
2020-01-27,129,136217907,279240,2164.6511627906975,1055952.7674418604
2020-01-28,142,171079741,340052,2394.7323943661968,1204786.9084507041
2020-01-29,160,160732010,340562,2128.5125,1004575.0625000001
2020-01-30,156,157157709,332558,2131.7820512820517,1007421.2115384614
2020-01-31,144,159701634,334434,2322.4583333333326,1109039.1250000005
2020-02-01,151,145334946,303724,2011.4172185430471,962483.08609271527
2020-02-02,143,144843594,290879,2034.1188811188811,1012892.265734266
2020-02-03,148,176234984,331012,2236.5675675675675,1190776.9189189191
2020-02-04,132,157712229,309190,2342.3484848484859,1194789.6136363638
2020-02-05,159,172476691,368604,2318.2641509433965,1084759.0628930822
2020-02-06,135,153473217,315370,2336.0740740740739,1136838.6444444447
2020-02-07,139,178364187,334938,2409.6258992805756,1283195.5899280575
2020-02-08,139,155196574,318363,2290.3812949640283,1116522.1151079144
2020-02-09,153,145642853,317070,2072.35294117647,951914.07189542474
2020-02-10,122,146383805,298104,2443.4754098360645,1199867.2540983611
