symbol,timestamp,longShortRatio,longAccount,shortAccount
BTCUSDT,2025-08-02 00:00:00+00:00,1.5394,0.6062,0.3938
BTCUSDT,2025-08-02 01:00:00+00:00,1.5458,0.6072,0.3928
BTCUSDT,2025-08-02 02:00:00+00:00,1.5484,0.6076,0.3924
BTCUSDT,2025-08-02 03:00:00+00:00,1.4969,0.5995,0.4005
BTCUSDT,2025-08-02 04:00:00+00:00,1.49,0.5984,0.4016
BTCUSDT,2025-08-02 05:00:00+00:00,1.4876,0.598,0.402
BTCUSDT,2025-08-02 06:00:00+00:00,1.4697,0.5951,0.4049
BTCUSDT,2025-08-02 07:00:00+00:00,1.4486,0.5916,0.4084
BTCUSDT,2025-08-02 08:00:00+00:00,1.4516,0.5921,0.4079
BTCUSDT,2025-08-02 09:00:00+00:00,1.4414,0.5904,0.4096
BTCUSDT,2025-08-02 10:00:00+00:00,1.4552,0.5927,0.4073
BTCUSDT,2025-08-02 11:00:00+00:00,1.457,0.593,0.407
BTCUSDT,2025-08-02 12:00:00+00:00,1.4474,0.5914,0.4086
BTCUSDT,2025-08-02 13:00:00+00:00,1.4558,0.5928,0.4072
BTCUSDT,2025-08-02 14:00:00+00:00,1.4814,0.597,0.403
BTCUSDT,2025-08-02 15:00:00+00:00,1.4863,0.5978,0.4022
BTCUSDT,2025-08-02 16:00:00+00:00,1.4814,0.597,0.403
BTCUSDT,2025-08-02 17:00:00+00:00,1.4808,0.5969,0.4031
BTCUSDT,2025-08-02 18:00:00+00:00,1.4691,0.595,0.405
BTCUSDT,2025-08-02 19:00:00+00:00,1.5138,0.6022,0.3978
BTCUSDT,2025-08-02 20:00:00+00:00,1.5107,0.6017,0.3983
BTCUSDT,2025-08-02 21:00:00+00:00,1.5272,0.6043,0.3957
BTCUSDT,2025-08-02 22:00:00+00:00,1.5259,0.6041,0.3959
BTCUSDT,2025-08-02 23:00:00+00:00,1.5265,0.6042,0.3958
BTCUSDT,2025-08-03 00:00:00+00:00,1.5458,0.6072,0.3928
BTCUSDT,2025-08-03 01:00:00+00:00,1.5549,0.6086,0.3914
BTCUSDT,2025-08-03 02:00:00+00:00,1.5291,0.6046,0.3954
BTCUSDT,2025-08-03 03:00:00+00:00,1.5284,0.6045,0.3955
BTCUSDT,2025-08-03 04:00:00+00:00,1.5069,0.6011,0.3989
BTCUSDT,2025-08-03 05:00:00+00:00,1.4882,0.5981,0.4019
BTCUSDT,2025-08-03 06:00:00+00:00,1.4876,0.598,0.402
BTCUSDT,2025-08-03 07:00:00+00:00,1.4869,0.5979,0.4021
BTCUSDT,2025-08-03 08:00:00+00:00,1.4857,0.5977,0.4023
BTCUSDT,2025-08-03 09:00:00+00:00,1.4832,0.5973,0.4027
BTCUSDT,2025-08-03 10:00:00+00:00,1.4783,0.5965,0.4035
BTCUSDT,2025-08-03 11:00:00+00:00,1.4802,0.5968,0.4032
BTCUSDT,2025-08-03 12:00:00+00:00,1.4876,0.598,0.402
BTCUSDT,2025-08-03 13:00:00+00:00,1.4832,0.5973,0.4027
BTCUSDT,2025-08-03 14:00:00+00:00,1.4728,0.5956,0.4044
BTCUSDT,2025-08-03 15:00:00+00:00,1.4594,0.5934,0.4066
BTCUSDT,2025-08-03 16:00:00+00:00,1.454,0.5925,0.4075
BTCUSDT,2025-08-03 17:00:00+00:00,1.4606,0.5936,0.4064
BTCUSDT,2025-08-03 18:00:00+00:00,1.4528,0.5923,0.4077
BTCUSDT,2025-08-03 19:00:00+00:00,1.4546,0.5926,0.4074
BTCUSDT,2025-08-03 20:00:00+00:00,1.5272,0.6043,0.3957
BTCUSDT,2025-08-03 21:00:00+00:00,1.5278,0.6044,0.3956
BTCUSDT,2025-08-03 22:00:00+00:00,1.5195,0.6031,0.3969
BTCUSDT,2025-08-03 23:00:00+00:00,1.4426,0.5906,0.4094
BTCUSDT,2025-08-04 00:00:00+00:00,1.4438,0.5908,0.4092
BTCUSDT,2025-08-04 01:00:00+00:00,1.4355,0.5894,0.4106
BTCUSDT,2025-08-04 02:00:00+00:00,1.4131,0.5856,0.4144
BTCUSDT,2025-08-04 03:00:00+00:00,1.4963,0.5994,0.4006
BTCUSDT,2025-08-04 04:00:00+00:00,1.4907,0.5985,0.4015
BTCUSDT,2025-08-04 05:00:00+00:00,1.4845,0.5975,0.4025
BTCUSDT,2025-08-04 06:00:00+00:00,1.4913,0.5986,0.4014
BTCUSDT,2025-08-04 07:00:00+00:00,1.5056,0.6009,0.3991
BTCUSDT,2025-08-04 08:00:00+00:00,1.5,0.6,0.4
BTCUSDT,2025-08-04 09:00:00+00:00,1.4994,0.5999,0.4001
BTCUSDT,2025-08-04 10:00:00+00:00,1.4925,0.5988,0.4012
BTCUSDT,2025-08-04 11:00:00+00:00,1.4925,0.5988,0.4012
BTCUSDT,2025-08-04 12:00:00+00:00,1.4888,0.5982,0.4018
BTCUSDT,2025-08-04 13:00:00+00:00,1.5044,0.6007,0.3993
BTCUSDT,2025-08-04 14:00:00+00:00,1.4931,0.5989,0.4011
BTCUSDT,2025-08-04 15:00:00+00:00,1.4284,0.5882,0.4118
BTCUSDT,2025-08-04 16:00:00+00:00,1.4366,0.5896,0.4104
BTCUSDT,2025-08-04 17:00:00+00:00,1.4876,0.598,0.402
BTCUSDT,2025-08-04 18:00:00+00:00,1.4516,0.5921,0.4079
BTCUSDT,2025-08-04 19:00:00+00:00,1.454,0.5925,0.4075
BTCUSDT,2025-08-04 20:00:00+00:00,1.4522,0.5922,0.4078
BTCUSDT,2025-08-04 21:00:00+00:00,1.4414,0.5904,0.4096
