symbol,fundingTime,fundingRate,markPrice
BTCUSDT,2025-05-20 16:00:00+00:00,1.266e-05,105294.50000000
BTCUSDT,2025-05-21 00:00:00+00:00,8.767e-05,106800.40000000
BTCUSDT,2025-05-21 08:00:00.001000+00:00,7.147e-05,106469.35994203
BTCUSDT,2025-05-21 16:00:00.004000+00:00,5.119e-05,108936.70000000
BTCUSDT,2025-05-22 00:00:00.001000+00:00,0.0001,109611.57980435
BTCUSDT,2025-05-22 08:00:00+00:00,0.0001,111005.80000000
BTCUSDT,2025-05-22 16:00:00.002000+00:00,0.0001,111236.80000000
BTCUSDT,2025-05-23 00:00:00.006000+00:00,9.321e-05,111663.50596536
BTCUSDT,2025-05-23 08:00:00+00:00,7.261e-05,110685.20000000
BTCUSDT,2025-05-23 16:00:00.007000+00:00,8.614e-05,108889.20000000
BTCUSDT,2025-05-24 00:00:00.010000+00:00,3.524e-05,107273.62679710
BTCUSDT,2025-05-24 08:00:00+00:00,4.59e-05,107554.85993116
BTCUSDT,2025-05-24 16:00:00.003000+00:00,7.837e-05,108895.88856522
BTCUSDT,2025-05-25 00:00:00.004000+00:00,9.794e-05,107698.90000000
BTCUSDT,2025-05-25 08:00:00+00:00,5.113e-05,107634.70000000
BTCUSDT,2025-05-25 16:00:00+00:00,3.651e-05,106928.00000000
BTCUSDT,2025-05-26 00:00:00+00:00,7.331e-05,108955.90000000
BTCUSDT,2025-05-26 08:00:00+00:00,0.0001,110050.00000000
BTCUSDT,2025-05-26 16:00:00.002000+00:00,9.782e-05,109951.10000000
BTCUSDT,2025-05-27 00:00:00.003000+00:00,7.65e-05,109403.70430072
BTCUSDT,2025-05-27 08:00:00.001000+00:00,7.266e-05,109471.80000000
BTCUSDT,2025-05-27 16:00:00.005000+00:00,2.476e-05,110091.30000000
BTCUSDT,2025-05-28 00:00:00.002000+00:00,3.26e-05,108889.20000000
BTCUSDT,2025-05-28 08:00:00.003000+00:00,2.164e-05,108764.90000000
BTCUSDT,2025-05-28 16:00:00.002000+00:00,5.368e-05,107066.31867754
BTCUSDT,2025-05-29 00:00:00+00:00,3.186e-05,107723.10000000
BTCUSDT,2025-05-29 08:00:00.006000+00:00,2.812e-05,107839.50000000
BTCUSDT,2025-05-29 16:00:00+00:00,8.379e-05,106972.60000000
BTCUSDT,2025-05-30 00:00:00.003000+00:00,2.622e-05,105540.00000000
BTCUSDT,2025-05-30 08:00:00.003000+00:00,3.849e-05,104997.40000000
BTCUSDT,2025-05-30 16:00:00+00:00,7.392e-05,105503.90000000
BTCUSDT,2025-05-31 00:00:00+00:00,8.506e-05,103950.00000000
BTCUSDT,2025-05-31 08:00:00+00:00,7.552e-05,103701.25933333
BTCUSDT,2025-05-31 16:00:00+00:00,4.687e-05,104499.67307246
BTCUSDT,2025-06-01 00:00:00.001000+00:00,-5.82e-06,104544.70000000
BTCUSDT,2025-06-01 08:00:00.002000+00:00,2.335e-05,104231.00000000
BTCUSDT,2025-06-01 16:00:00+00:00,4.117e-05,104664.00000000
BTCUSDT,2025-06-02 00:00:00.001000+00:00,-6.42e-06,105589.61297464
BTCUSDT,2025-06-02 08:00:00+00:00,5.593e-05,105346.40000000
BTCUSDT,2025-06-02 16:00:00+00:00,4.467e-05,104396.90000000
BTCUSDT,2025-06-03 00:00:00+00:00,5.005e-05,105814.40000000
BTCUSDT,2025-06-03 08:00:00+00:00,6.066e-05,105134.30000000
