symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
BTCUSDT,91897.563,10821957399.910473,19898343.00000000,2025-07-28 19:00:00+00:00
BTCUSDT,91981.839,10858708598.382835,19898343.00000000,2025-07-28 20:00:00+00:00
BTCUSDT,91890.553,10847217970.3605,19898343.00000000,2025-07-28 21:00:00+00:00
BTCUSDT,91841.174,10845356569.76864,19898343.00000000,2025-07-28 22:00:00+00:00
BTCUSDT,91840.565,10822767701.295,19898343.00000000,2025-07-28 23:00:00+00:00
BTCUSDT,91809.746,10837393360.979504,19898343.00000000,2025-07-29 00:00:00+00:00
BTCUSDT,91808.543,10828453242.746113,19898343.00000000,2025-07-29 01:00:00+00:00
BTCUSDT,91723.085,10799356787.8895,19898343.00000000,2025-07-29 02:00:00+00:00
BTCUSDT,91645.375,10820493701.134716,19898825.00000000,2025-07-29 03:00:00+00:00
BTCUSDT,91478.22,10862471460.036,19898825.00000000,2025-07-29 04:00:00+00:00
BTCUSDT,91501.583,10842398616.567694,19898825.00000000,2025-07-29 05:00:00+00:00
BTCUSDT,91639.38,10883642605.08,19898825.00000000,2025-07-29 06:00:00+00:00
BTCUSDT,91632.14,10878567660.8,19898825.00000000,2025-07-29 07:00:00+00:00
BTCUSDT,91531.764,10879126801.5132,19898825.00000000,2025-07-29 08:00:00+00:00
BTCUSDT,91736.298,10906326649.3644,19898825.00000000,2025-07-29 09:00:00+00:00
BTCUSDT,91640.871,10882353431.25,19898825.00000000,2025-07-29 10:00:00+00:00
BTCUSDT,91459.117,10817775212.8483,19898825.00000000,2025-07-29 11:00:00+00:00
BTCUSDT,91522.308,10850916058.18782,19898825.00000000,2025-07-29 12:00:00+00:00
BTCUSDT,90903.538,10806108912.216162,19898825.00000000,2025-07-29 13:00:00+00:00
BTCUSDT,90673.338,10752951153.42,19898825.00000000,2025-07-29 14:00:00+00:00
BTCUSDT,89746.557,10570502052.6069,19898825.00000000,2025-07-29 15:00:00+00:00
BTCUSDT,90532.427,10624110518.35358,19898825.00000000,2025-07-29 16:00:00+00:00
BTCUSDT,91910.591,10818367328.955826,19898825.00000000,2025-07-29 17:00:00+00:00
