symbol,longAccount,longShortRatio,shortAccount,timestamp
BTCUSDT,0.5294,1.1249,0.4706,2025-07-28 19:00:00+00:00
BTCUSDT,0.5267,1.1128,0.4733,2025-07-28 20:00:00+00:00
BTCUSDT,0.5277,1.1173,0.4723,2025-07-28 21:00:00+00:00
BTCUSDT,0.5407,1.1772,0.4593,2025-07-28 22:00:00+00:00
BTCUSDT,0.5424,1.1853,0.4576,2025-07-28 23:00:00+00:00
BTCUSDT,0.5434,1.1901,0.4566,2025-07-29 00:00:00+00:00
BTCUSDT,0.5455,1.2002,0.4545,2025-07-29 01:00:00+00:00
BTCUSDT,0.5447,1.1964,0.4553,2025-07-29 02:00:00+00:00
BTCUSDT,0.5349,1.1501,0.4651,2025-07-29 03:00:00+00:00
BTCUSDT,0.5242,1.1017,0.4758,2025-07-29 04:00:00+00:00
BTCUSDT,0.5259,1.1093,0.4741,2025-07-29 05:00:00+00:00
BTCUSDT,0.5258,1.1088,0.4742,2025-07-29 06:00:00+00:00
BTCUSDT,0.5213,1.089,0.4787,2025-07-29 07:00:00+00:00
BTCUSDT,0.5167,1.0691,0.4833,2025-07-29 08:00:00+00:00
BTCUSDT,0.5122,1.05,0.4878,2025-07-29 09:00:00+00:00
BTCUSDT,0.5103,1.0421,0.4897,2025-07-29 10:00:00+00:00
BTCUSDT,0.5117,1.0479,0.4883,2025-07-29 11:00:00+00:00
BTCUSDT,0.5162,1.067,0.4838,2025-07-29 12:00:00+00:00
BTCUSDT,0.5076,1.0309,0.4924,2025-07-29 13:00:00+00:00
BTCUSDT,0.5066,1.0268,0.4934,2025-07-29 14:00:00+00:00
BTCUSDT,0.5204,1.0851,0.4796,2025-07-29 15:00:00+00:00
BTCUSDT,0.5231,1.0969,0.4769,2025-07-29 16:00:00+00:00
BTCUSDT,0.5272,1.1151,0.4728,2025-07-29 17:00:00+00:00
BTCUSDT,0.527,1.1142,0.473,2025-07-29 18:00:00+00:00
BTCUSDT,0.5285,1.1209,0.4715,2025-07-29 19:00:00+00:00
BTCUSDT,0.529,1.1231,0.471,2025-07-29 20:00:00+00:00
BTCUSDT,0.5308,1.1313,0.4692,2025-07-29 21:00:00+00:00
BTCUSDT,0.5324,1.1386,0.4676,2025-07-29 22:00:00+00:00
BTCUSDT,0.5335,1.1436,0.4665,2025-07-29 23:00:00+00:00
BTCUSDT,0.5329,1.1409,0.4671,2025-07-30 00:00:00+00:00
BTCUSDT,0.5305,1.1299,0.4695,2025-07-30 01:00:00+00:00
BTCUSDT,0.5303,1.129,0.4697,2025-07-30 02:00:00+00:00
BTCUSDT,0.5288,1.1222,0.4712,2025-07-30 03:00:00+00:00
BTCUSDT,0.527,1.1142,0.473,2025-07-30 04:00:00+00:00
BTCUSDT,0.5245,1.103,0.4755,2025-07-30 05:00:00+00:00
BTCUSDT,0.5236,1.0991,0.4764,2025-07-30 06:00:00+00:00
BTCUSDT,0.5198,1.0825,0.4802,2025-07-30 07:00:00+00:00
BTCUSDT,0.5175,1.0725,0.4825,2025-07-30 08:00:00+00:00
BTCUSDT,0.5142,1.0585,0.4858,2025-07-30 09:00:00+00:00
BTCUSDT,0.5115,1.0471,0.4885,2025-07-30 10:00:00+00:00
BTCUSDT,0.5082,1.0333,0.4918,2025-07-30 11:00:00+00:00
BTCUSDT,0.5151,1.0623,0.4849,2025-07-30 12:00:00+00:00
BTCUSDT,0.518,1.0747,0.482,2025-07-30 13:00:00+00:00
BTCUSDT,0.5182,1.0756,0.4818,2025-07-30 14:00:00+00:00
BTCUSDT,0.5034,1.0137,0.4966,2025-07-30 15:00:00+00:00
BTCUSDT,0.5101,1.0412,0.4899,2025-07-30 16:00:00+00:00
BTCUSDT,0.5164,1.0678,0.4836,2025-07-30 17:00:00+00:00
BTCUSDT,0.5159,1.0657,0.4841,2025-07-30 18:00:00+00:00
BTCUSDT,0.5323,1.1381,0.4677,2025-07-30 19:00:00+00:00
BTCUSDT,0.5447,1.1964,0.4553,2025-07-30 20:00:00+00:00
BTCUSDT,0.5414,1.1805,0.4586,2025-07-30 21:00:00+00:00
BTCUSDT,0.542,1.1834,0.458,2025-07-30 22:00:00+00:00
BTCUSDT,0.5411,1.1791,0.4589,2025-07-30 23:00:00+00:00
BTCUSDT,0.5394,1.1711,0.4606,2025-07-31 00:00:00+00:00
BTCUSDT,0.5426,1.1863,0.4574,2025-07-31 01:00:00+00:00
BTCUSDT,0.5335,1.1436,0.4665,2025-07-31 02:00:00+00:00
BTCUSDT,0.5325,1.139,0.4675,2025-07-31 03:00:00+00:00
